"            Glass_1.5", 2419.7,,119.50,267,44.76
"   Scidlet_361_x64_ja", 2418.0,,778.50,1465,53.14
"           Knightx192", 2415.5,,505.50,1112,45.46
"      Chispa403-blend", 2412.5,,502.50,1075,46.74
"        GarboChess2_2", 2408.9,,335.00,783,42.78
"Movei00_8_438(10 10 10)", 2408.9,,286.00,721,39.67
"          Atlas220uci", 2408.8,,567.00,1157,49.01
"         Natwarlal014", 2407.9,,526.00,1110,47.39
"           Sinobyl150", 2406.9,,529.50,1080,49.03
"       BlackBishop1.0", 2405.5,,565.50,1082,52.26
"Rattatechess_Bologna2007", 2405.0,,558.50,1078,51.81
"        Parrot-070116", 2397.3,,817.50,1415,57.77
"      Zappa_11_win_64", 2396.4,,288.50,705,40.92
"               Tao_56", 2396.4,,226.50,525,43.14
"               N2_x64", 2396.4,,128.00,292,43.84
"             Quark235", 2392.2,,216.50,515,42.04
"           Anechka008", 2388.6,,523.00,1213,43.12
"            EveAnn163", 2387.3,,540.50,1100,49.14
"          Horizon_4_4", 2386.7,,429.00,1048,40.94
"          Danasah_437", 2383.9,,175.00,410,42.68
"         TJchess0121R", 2372.1,,517.50,1089,47.52
"       FireFly256_x64", 2368.0,,551.00,1087,50.69
"          Matheus-2.3", 2352.0,,531.00,1102,48.19
"     Gerbil_02_x64_ja", 2340.3,,547.00,1058,51.70
"       ZCT_032500_x64", 2333.2,,536.50,1059,50.66
"           Ifrit_j2_9", 2332.3,,325.50,670,48.58
"           Taktix_223", 2316.1,,622.50,1194,52.14
"       Myrddin083_x64", 2308.6,,320.50,696,46.05
"      SnailChess_4013", 2292.0,,753.00,1239,60.77
"          Warrior_103", 2287.1,,602.50,1178,51.15
"           Marvin_130", 2284.3,,514.50,1156,44.51
"       Micromax48_c2d", 2283.9,,507.50,1145,44.32
"         BigLion_223x", 2279.7,,463.50,1088,42.60
"MatMoi_7.15.0_cct_x64", 2269.0,,458.50,1126,40.72
"                Smash", 2258.2,,583.50,1247,46.79
"      Surprise_4.3b13", 2255.7,,541.00,1151,47.00
"         Embracer_112", 2254.9,,663.50,1165,56.95
"          Clueless_14", 2238.8,,517.00,1160,44.57
"         Grizzly1401b", 2230.6,,632.00,1180,53.56
"               Elf130", 2182.4,,552.00,1136,48.59
"              TSCP181", 2169.4,,610.50,1231,49.59
"             Mizar3.0", 2167.9,,551.00,1043,52.83
"        Mephisto_MM V", 2161.9,,335.00,683,49.05
"          DChess1_0_2", 2154.7,,534.00,1057,50.52
"           Beaches226", 2154.5,,550.50,1040,52.93
"  RataAeroespacial005", 2151.2,,550.50,827,66.57
"             Storm_06", 2139.3,,515.00,1069,48.18
"        PolarChess1.2", 2138.3,,552.00,1119,49.33
"      MSCP_144_uci_ja", 2132.9,,548.50,1073,51.12
"             Bace_045", 2130.4,,577.50,1205,47.93
"          Needle_0531", 2124.0,,585.00,1061,55.14
"  Braincrack_alpha_ja", 2098.1,,463.50,784,59.12
"             Yawce016", 2069.5,,654.00,1243,52.61
"             LarsenVB", 2061.5,,472.50,1025,46.10
"         Eden0013-jet", 2042.9,,590.00,1042,56.62
"    Joanna2002-104_ja", 2035.4,,570.00,1059,53.82
"    Fimbulwinter_5_00", 2035.3,,556.00,963,57.74
"              Nero_61", 2028.6,,602.00,1373,43.85
"          Pentagon_12", 2019.9,,376.00,1014,37.08
"      MiniChessAI_119", 2018.9,,479.00,864,55.44
" StAndersen_v1.31_X64", 2017.3,,390.50,1047,37.30
"TarraschToyEngineV0.906", 2015.1,,427.50,1151,37.14
"     KillerQueen_20b3", 2005.7,,745.50,1164,64.05
"QuteChess_101t_rev3_ja", 1991.0,,641.50,1012,63.39
"              Trex1.9", 1984.2,,618.50,1114,55.52
"             Raffaela", 1963.2,,692.50,1163,59.54
"  Toledo_Nanochess_wb", 1961.1,,616.00,1173,52.51
"            Marquis16", 1953.4,,520.00,1006,51.69
"           Pierre17ja", 1952.5,,752.00,1397,53.83
"           Gringo149b", 1951.1,,432.50,937,46.16
"         Numpty_0.4pr", 1936.1,,495.00,1115,44.39
"         BRAMA_051204", 1932.9,,650.50,1177,55.27
"           Mystery2.1", 1918.4,,385.50,941,40.97
"         BlitzKibitz5", 1894.8,,359.50,955,37.64
"            Talvmenni", 1883.5,,428.50,840,51.01
"         BlitzterV2_0", 1851.3,,426.00,928,45.91
"       EvolChess_0.05", 1829.7,,646.00,1202,53.74
"        MFChess_13_ja", 1827.2,,382.00,898,42.54
"         Xadreco_v5.7", 1819.3,,548.00,1372,39.94
"       Cassandre_0.21", 1805.0,,643.00,1254,51.28
"  GIUChess10-beta2-dc", 1801.7,,299.50,710,42.18
"             Youk_105", 1801.2,,306.50,733,41.81
"               Ram2.0", 1779.7,,306.50,566,54.15
"           Dika_04209", 1779.7,,590.00,1289,45.77
"           Testina2_2", 1776.8,,406.50,1119,36.33
"       NSVChess v0.14", 1769.9,,267.00,706,37.82
"          Pyotr-am_06", 1716.8,,591.50,1676,35.29
"               Neg03d", 1704.7,,289.00,698,41.40
"             POS-1.20", 1679.7,,159.00,584,27.23
"        LaMoSca_v0.10", 1679.7,,170.00,542,31.37
"     Dendron042_win32", 1679.7,,241.50,670,36.04
"            BrutusRND", 1679.7,,82.00,552,14.86
"                 CPP1", 1679.7,,167.00,496,33.67
